movie_title,genres,tomatometer_rating
Bang The Drum Slowly,Classics; Comedy; Drama; Sports & Fitness,92.0
Battleground,Action & Adventure; Classics; Drama,75.0
Beauty and The Beast (La Belle et la bête),Drama; Science Fiction & Fantasy; Romance,95.0
The Belles of St. Trinian's,Action & Adventure; Classics; Comedy,67.0
1001 Grams,Drama,82.0
The Best of Times,Comedy; Drama,31.0
Betrayed,Action & Adventure; Drama; Mystery & Suspense,42.0
The Big Brawl (Battle Creek Brawl),Action & Adventure; Comedy,67.0
Big Business,Comedy,44.0
The Big Heat,Classics; Drama; Mystery & Suspense,100.0
The Big Sleep,Classics; Drama; Mystery & Suspense,97.0
The Big Sleep,Art House & International; Drama; Mystery & Suspense,67.0
Billy Budd,Action & Adventure; Classics; Drama,90.0
The Birds,Classics; Horror; Mystery & Suspense,95.0
Black Christmas,Horror; Mystery & Suspense,71.0
The Black Hole,Action & Adventure; Kids & Family; Science Fiction & Fantasy,38.0
The Black Pirate,Action & Adventure; Classics,100.0
Black Rain,Action & Adventure; Drama; Mystery & Suspense,50.0
Black Sunday,Action & Adventure; Drama; Horror; Mystery & Suspense,69.0
Black Widow,Drama; Mystery & Suspense,50.0
Blackmail,Classics; Drama; Mystery & Suspense,86.0
Blind Date,Comedy; Drama,21.0
Blood and Sand,Classics; Drama; Romance,100.0
Blood Feast,Classics; Horror,38.0
Der Blaue Engel (The Blue Angel),Art House & International; Classics; Drama; Musical & Performing Arts,96.0
Bluebeard,Classics; Drama; Horror; Mystery & Suspense,100.0
The Border,Action & Adventure; Drama; Mystery & Suspense,80.0
Born Yesterday,Classics; Comedy; Drama,97.0
The Boston Strangler,Classics; Drama; Mystery & Suspense,86.0
The Bounty,Action & Adventure; Drama,74.0
The Boys from Brazil,Action & Adventure; Drama; Mystery & Suspense,69.0
Brainstorm,Mystery & Suspense; Science Fiction & Fantasy,55.0
Breakout,Action & Adventure,40.0
Brewster's Millions,Comedy,35.0
Brian's Song,Classics; Drama; Television,92.0
Brief Encounter,Classics; Drama; Romance,91.0
Broken Arrow,Action & Adventure; Classics; Drama; Western; Romance,89.0
Broken Blossoms,Classics; Drama; Romance,95.0
The Brotherhood,Action & Adventure; Classics; Drama,67.0
Bug,Classics; Horror; Mystery & Suspense; Science Fiction & Fantasy,33.0
Burglar,Comedy; Drama,27.0
Bus Stop,Comedy; Drama; Romance,79.0
Butch Cassidy and the Sundance Kid,Action & Adventure; Classics; Western,90.0
Bye Bye Birdie,Classics; Comedy; Kids & Family; Musical & Performing Arts,89.0
Calamity Jane,Classics; Comedy; Musical & Performing Arts; Western; Romance,71.0
Camelot,Action & Adventure; Classics; Comedy; Drama; Musical & Performing Arts; Science Fiction & Fantasy; Romance,41.0
Camille,Classics; Drama; Romance,93.0
Cape Fear,Classics; Drama; Mystery & Suspense,100.0
Captain Blood,Action & Adventure; Classics,100.0
Captains Courageous,Action & Adventure; Classics,94.0
Carnival of Souls,Classics; Comedy; Horror; Mystery & Suspense,86.0
Carny,Drama; Horror,50.0
Carrie,Horror,93.0
Casablanca,Classics; Drama; Romance,99.0
Casino Royale,Action & Adventure; Classics; Comedy,25.0
The Cat and the Canary,Classics; Horror; Mystery & Suspense,94.0
Cat on a Hot Tin Roof,Classics; Drama,97.0
Cat People,Drama; Horror; Romance,95.0
Cat People,Drama; Horror; Mystery & Suspense,61.0
Caught,Classics; Drama; Mystery & Suspense,100.0
The Champ,Drama; Sports & Fitness,36.0
Champion,Classics; Drama,93.0
Charade,Classics; Comedy; Drama; Mystery & Suspense,94.0
Charlotte's Web,Animation; Kids & Family,77.0
The Chase,Classics; Drama,89.0
Checking Out,Comedy,20.0
Children of the Corn,Cult Movies; Horror; Mystery & Suspense,35.0
The Chosen,Drama,75.0
A Christmas Carol,Classics; Drama; Kids & Family; Science Fiction & Fantasy,100.0
Christmas in Connecticut,Classics; Comedy,88.0
A Christmas Story,Comedy; Drama; Kids & Family,89.0
Cimarron,Classics; Drama; Western,50.0
Cleopatra,Classics; Drama,62.0
College,Classics; Comedy; Romance,89.0
Colors,Action & Adventure; Drama,82.0
Coma,Action & Adventure; Mystery & Suspense,81.0
Commando,Action & Adventure,71.0
Convoy,Action & Adventure; Drama,43.0
Countdown,Action & Adventure; Documentary; Drama; Mystery & Suspense; Science Fiction & Fantasy,67.0
The Country Girl,Classics; Drama,86.0
Cover Girl,Classics; Comedy; Musical & Performing Arts; Romance,95.0
Creature from the Black Lagoon,Classics; Cult Movies; Horror; Science Fiction & Fantasy,79.0
Crossroads,Drama,73.0
Cutting Class,Comedy; Drama; Horror,25.0
